S1,S2,S3,S4,Clase
2657,1789,2222,497,Abrir
2325,1348,2265,275,Abrir
3018,1621,2262,192,Abrir
2018,1648,2222,32,Abrir
2297,793,2241,3,Abrir
2186,1327,2236,9,Abrir
1585,1191,2273,27,Abrir
1990,688,2229,97,Abrir
1911,1195,2242,185,Abrir
1695,1213,2221,259,Abrir
2039,1277,2273,81,Abrir
2134,1205,2258,1,Abrir
1898,1118,2257,58,Abrir
1852,723,2266,27,Abrir
2174,1294,2234,41,Abrir
2219,1819,2255,0,Abrir
1839,1844,2235,0,Abrir
1953,1535,2251,59,Abrir
1989,729,2288,80,Abrir
2173,1079,2239,217,Abrir
2176,1125,2226,285,Abrir
2070,1514,2221,279,Abrir
1643,1575,2224,448,Abrir
1488,1446,2253,421,Abrir
1604,1535,2267,343,Abrir
1180,850,2239,741,Abrir
1887,1702,2245,641,Abrir
1616,1479,2243,1328,Abrir
1329,855,2251,1167,Abrir
2265,1686,2257,1457,Abrir
2288,2160,2269,1310,Abrir
1917,2086,2266,1239,Abrir
2201,1255,2240,1344,Abrir
2586,1520,2257,1682,Abrir
2401,1296,2262,1456,Abrir
1747,1494,2241,1264,Abrir
1984,1613,2256,1771,Abrir
2299,1264,2271,1673,Abrir
2214,1595,2243,1799,Abrir
2915,2069,2261,1865,Abrir
2489,1787,2203,1307,Abrir
2416,1535,2256,1232,Abrir
2914,1927,2227,979,Abrir
2227,1722,2283,1271,Abrir
2592,1687,2242,1362,Abrir
2480,1895,2257,1424,Abrir
3166,1488,2247,1319,Abrir
2975,1810,2256,1129,Abrir
3161,1458,2257,1488,Abrir
2538,1840,2262,1215,Abrir
2883,1963,2239,689,Abrir
2811,1963,2237,589,Abrir
3223,1742,2229,123,Abrir
2795,1832,2242,33,Abrir
2633,1777,2271,0,Abrir
3154,1226,2245,0,Abrir
3138,1248,2219,0,Abrir
2066,2059,2237,0,Abrir
2251,1807,2288,101,Abrir
2337,1264,2231,2,Abrir
3189,1395,2241,64,Abrir
2356,859,2256,0,Abrir
2559,1023,2255,0,Abrir
2127,1297,2256,0,Abrir
2113,1185,2266,0,Abrir
1627,1088,2272,0,Abrir
2559,1205,2276,0,Abrir
1557,968,2227,0,Abrir
2123,710,2287,0,Abrir
2176,1200,2256,0,Abrir
2164,2046,2225,0,Abrir
1781,1485,2240,0,Abrir
1648,1041,2258,0,Abrir
2131,818,2285,207,Abrir
2385,989,2215,144,Abrir
2027,1139,2263,205,Abrir
2404,1869,2239,150,Abrir
2134,1424,2255,238,Abrir
1361,1472,2252,299,Abrir
2189,1350,2256,690,Abrir
2421,1601,2214,641,Abrir
2240,1107,2274,747,Abrir
2193,1138,2247,967,Abrir
2290,1659,2231,1437,Abrir
2293,1787,2234,1392,Abrir
2266,1662,2202,1702,Abrir
2480,1823,2255,1706,Abrir
2707,1571,2249,1429,Abrir
2299,1635,2239,1220,Abrir
2545,1886,2225,1241,Abrir
2794,1814,2247,1222,Abrir
3143,2695,2251,1488,Abrir
2708,1626,2262,1202,Abrir
2603,1350,2245,1601,Abrir
2809,2083,2244,1555,Abrir
2707,1639,2216,1680,Abrir
2525,1870,2220,1366,Abrir
2494,1939,2305,1664,Abrir
2680,1853,2297,1429,Abrir
2685,1862,2262,1217,Abrir
